Meso-D3,NMP-D3,PreNeural-D3,p0/p1-D3,EarlyVentral-D3,Meso-D3.2,NMP-D3.2,PreNeural-D3.2,p0/p1-D3.2,EarlyVentral-D3.2,Meso-D3.4,NMP-D3.4,PreNeural-D3.4,p0/p1-D3.4,EarlyVentral-D3.4,Meso-D3.6,NMP-D3.6,PreNeural-D3.6,p0/p1-D3.6,EarlyVentral-D3.6,Meso-D3.8,NMP-D3.8,PreNeural-D3.8,p0/p1-D3.8,EarlyVentral-D3.8,Meso-D4,NMP-D4,PreNeural-D4,p0/p1-D4,EarlyVentral-D4
0.05,0.852,0.0,0.0,0.0,0.052,0.712,0.056,0.0,0.0,0.07,0.3,0.16,0.0,0.0,0.136,0.09,0.384,0.04,0.0,0.184,0.04,0.33,0.146,0.0,0.202,0.014,0.144,0.39,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.736,0.048,0.0,0.0,0.066,0.334,0.156,0.0,0.0,0.128,0.096,0.396,0.02,0.0,0.176,0.03,0.4,0.126,0.0,0.198,0.006,0.216,0.348,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.636,0.05,0.0,0.0,0.082,0.29,0.21,0.0,0.0,0.136,0.098,0.356,0.03,0.002,0.182,0.048,0.262,0.138,0.022,0.204,0.014,0.136,0.356,0.05
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.074,0.0,0.0,0.05,0.316,0.21,0.0,0.0,0.068,0.122,0.418,0.016,0.004,0.082,0.038,0.32,0.134,0.022,0.088,0.014,0.152,0.36,0.048
0.05,0.852,0.0,0.0,0.0,0.05,0.652,0.05,0.0,0.0,0.068,0.29,0.22,0.0,0.0,0.096,0.11,0.418,0.014,0.0,0.106,0.044,0.316,0.106,0.0,0.12,0.012,0.118,0.338,0.002
0.05,0.852,0.0,0.0,0.0,0.052,0.652,0.06,0.0,0.0,0.078,0.31,0.212,0.0,0.0,0.122,0.126,0.464,0.016,0.0,0.152,0.06,0.406,0.124,0.0,0.164,0.03,0.214,0.362,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.648,0.05,0.0,0.0,0.076,0.272,0.21,0.0,0.0,0.142,0.106,0.334,0.024,0.012,0.176,0.032,0.208,0.13,0.064,0.19,0.016,0.112,0.304,0.156
0.05,0.852,0.0,0.0,0.0,0.05,0.66,0.05,0.0,0.0,0.076,0.31,0.184,0.0,0.0,0.098,0.092,0.35,0.028,0.01,0.15,0.042,0.252,0.116,0.048,0.16,0.02,0.114,0.306,0.142
0.05,0.852,0.0,0.0,0.0,0.052,0.716,0.064,0.0,0.0,0.06,0.314,0.172,0.0,0.0,0.114,0.118,0.436,0.022,0.0,0.144,0.044,0.366,0.152,0.0,0.156,0.018,0.192,0.396,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.714,0.052,0.0,0.0,0.06,0.328,0.178,0.0,0.0,0.114,0.128,0.416,0.026,0.0,0.15,0.064,0.384,0.12,0.0,0.17,0.02,0.192,0.338,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.662,0.062,0.0,0.0,0.07,0.296,0.208,0.0,0.0,0.12,0.108,0.428,0.022,0.0,0.13,0.028,0.33,0.146,0.0,0.148,0.01,0.17,0.394,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.64,0.056,0.0,0.0,0.076,0.274,0.236,0.0,0.0,0.116,0.116,0.412,0.018,0.008,0.138,0.056,0.286,0.11,0.036,0.144,0.022,0.132,0.274,0.106
0.05,0.852,0.0,0.0,0.0,0.052,0.676,0.046,0.0,0.0,0.066,0.268,0.194,0.0,0.0,0.136,0.112,0.38,0.024,0.0,0.174,0.05,0.266,0.126,0.018,0.184,0.016,0.11,0.35,0.056
0.05,0.852,0.0,0.0,0.0,0.052,0.666,0.06,0.0,0.0,0.064,0.254,0.216,0.0,0.0,0.112,0.08,0.38,0.02,0.0,0.15,0.03,0.248,0.148,0.024,0.16,0.008,0.112,0.39,0.062
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.066,0.0,0.0,0.062,0.306,0.208,0.0,0.0,0.106,0.098,0.434,0.03,0.0,0.132,0.02,0.38,0.148,0.0,0.14,0.008,0.194,0.424,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.714,0.05,0.0,0.0,0.058,0.264,0.172,0.0,0.0,0.15,0.07,0.434,0.016,0.0,0.2,0.02,0.394,0.122,0.0,0.226,0.006,0.188,0.344,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.648,0.062,0.0,0.0,0.078,0.322,0.19,0.0,0.0,0.114,0.13,0.356,0.034,0.006,0.138,0.052,0.268,0.134,0.026,0.152,0.022,0.136,0.338,0.054
0.05,0.852,0.0,0.0,0.0,0.056,0.666,0.054,0.0,0.0,0.084,0.282,0.174,0.0,0.0,0.14,0.108,0.38,0.012,0.018,0.17,0.03,0.306,0.1,0.06,0.186,0.01,0.162,0.272,0.122
0.05,0.852,0.0,0.0,0.0,0.05,0.672,0.048,0.0,0.0,0.08,0.288,0.206,0.0,0.0,0.162,0.116,0.418,0.03,0.0,0.208,0.05,0.344,0.134,0.002,0.222,0.02,0.174,0.372,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.748,0.05,0.0,0.0,0.064,0.298,0.136,0.0,0.0,0.124,0.102,0.428,0.032,0.0,0.154,0.042,0.394,0.134,0.0,0.17,0.01,0.21,0.38,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.672,0.052,0.0,0.0,0.082,0.3,0.184,0.0,0.0,0.148,0.12,0.406,0.03,0.0,0.176,0.036,0.338,0.148,0.0,0.186,0.012,0.218,0.374,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.686,0.058,0.0,0.0,0.064,0.276,0.198,0.0,0.0,0.11,0.108,0.402,0.02,0.0,0.152,0.038,0.264,0.128,0.0,0.162,0.01,0.114,0.422,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.672,0.054,0.0,0.0,0.08,0.242,0.194,0.0,0.0,0.134,0.092,0.448,0.014,0.0,0.168,0.022,0.344,0.112,0.0,0.18,0.004,0.17,0.342,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.63,0.046,0.0,0.0,0.076,0.282,0.254,0.0,0.0,0.144,0.094,0.424,0.012,0.0,0.17,0.028,0.344,0.142,0.0,0.18,0.01,0.186,0.38,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.69,0.058,0.0,0.0,0.074,0.346,0.18,0.0,0.0,0.112,0.144,0.396,0.024,0.0,0.14,0.056,0.314,0.136,0.0,0.144,0.018,0.186,0.39,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.664,0.062,0.0,0.0,0.078,0.31,0.198,0.0,0.0,0.128,0.126,0.394,0.036,0.0,0.178,0.052,0.31,0.15,0.0,0.182,0.024,0.15,0.384,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.66,0.054,0.0,0.0,0.072,0.304,0.23,0.0,0.0,0.136,0.124,0.392,0.02,0.0,0.168,0.048,0.346,0.172,0.0,0.178,0.028,0.192,0.396,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.664,0.048,0.0,0.0,0.082,0.316,0.182,0.0,0.0,0.16,0.122,0.394,0.02,0.0,0.244,0.042,0.306,0.126,0.0,0.26,0.012,0.186,0.354,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.666,0.046,0.0,0.0,0.068,0.33,0.216,0.0,0.0,0.112,0.132,0.384,0.012,0.0,0.146,0.05,0.344,0.126,0.0,0.164,0.02,0.176,0.334,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.652,0.046,0.0,0.0,0.07,0.29,0.22,0.0,0.0,0.13,0.134,0.448,0.022,0.0,0.156,0.058,0.338,0.134,0.0,0.172,0.022,0.19,0.344,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.722,0.052,0.0,0.0,0.06,0.292,0.172,0.0,0.0,0.102,0.094,0.44,0.024,0.0,0.138,0.048,0.356,0.14,0.0,0.15,0.008,0.158,0.398,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.638,0.048,0.0,0.0,0.102,0.268,0.204,0.0,0.0,0.172,0.104,0.35,0.02,0.002,0.208,0.026,0.278,0.138,0.016,0.23,0.006,0.144,0.322,0.032
0.05,0.852,0.0,0.0,0.0,0.052,0.65,0.062,0.0,0.0,0.068,0.236,0.246,0.0,0.0,0.134,0.086,0.472,0.026,0.006,0.158,0.038,0.334,0.128,0.02,0.164,0.012,0.2,0.374,0.044
0.05,0.852,0.0,0.0,0.0,0.052,0.722,0.056,0.0,0.0,0.058,0.316,0.164,0.0,0.0,0.104,0.092,0.406,0.012,0.002,0.14,0.032,0.344,0.096,0.024,0.154,0.014,0.16,0.288,0.056
0.05,0.852,0.0,0.0,0.0,0.052,0.624,0.084,0.0,0.0,0.092,0.234,0.214,0.0,0.0,0.17,0.082,0.346,0.042,0.014,0.214,0.034,0.182,0.142,0.07,0.234,0.01,0.072,0.352,0.146
0.05,0.852,0.0,0.0,0.0,0.05,0.762,0.056,0.0,0.0,0.052,0.332,0.146,0.0,0.0,0.102,0.102,0.404,0.03,0.0,0.164,0.03,0.38,0.132,0.0,0.188,0.014,0.178,0.37,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.712,0.054,0.0,0.0,0.068,0.284,0.146,0.0,0.0,0.124,0.092,0.436,0.024,0.0,0.164,0.028,0.352,0.112,0.0,0.17,0.008,0.162,0.386,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.646,0.038,0.0,0.0,0.082,0.274,0.23,0.0,0.0,0.158,0.098,0.436,0.01,0.0,0.192,0.034,0.382,0.124,0.0,0.206,0.012,0.218,0.342,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.678,0.066,0.0,0.0,0.06,0.258,0.22,0.0,0.0,0.104,0.078,0.448,0.016,0.0,0.136,0.028,0.398,0.146,0.002,0.148,0.004,0.176,0.38,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.712,0.062,0.0,0.0,0.062,0.302,0.154,0.0,0.0,0.122,0.104,0.406,0.026,0.0,0.144,0.036,0.384,0.162,0.0,0.16,0.016,0.17,0.386,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.638,0.054,0.0,0.0,0.072,0.286,0.216,0.0,0.0,0.136,0.108,0.33,0.026,0.01,0.182,0.062,0.228,0.16,0.05,0.2,0.026,0.11,0.322,0.116
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.06,0.0,0.0,0.062,0.282,0.238,0.0,0.0,0.106,0.108,0.454,0.014,0.0,0.128,0.046,0.362,0.144,0.0,0.13,0.024,0.17,0.378,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.65,0.058,0.0,0.0,0.076,0.256,0.23,0.0,0.0,0.116,0.106,0.454,0.028,0.0,0.142,0.034,0.384,0.156,0.0,0.158,0.01,0.206,0.39,0.002
0.05,0.852,0.0,0.0,0.0,0.052,0.684,0.076,0.0,0.0,0.064,0.312,0.214,0.0,0.0,0.128,0.118,0.44,0.034,0.0,0.162,0.048,0.418,0.114,0.0,0.18,0.03,0.252,0.34,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.732,0.06,0.0,0.0,0.062,0.286,0.146,0.0,0.0,0.128,0.078,0.42,0.018,0.0,0.166,0.014,0.358,0.112,0.0,0.182,0.004,0.152,0.376,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.062,0.0,0.0,0.07,0.27,0.202,0.0,0.0,0.16,0.07,0.41,0.024,0.0,0.24,0.018,0.368,0.146,0.0,0.254,0.0,0.218,0.36,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.688,0.048,0.0,0.0,0.066,0.302,0.19,0.0,0.0,0.116,0.136,0.442,0.024,0.0,0.136,0.058,0.38,0.134,0.0,0.158,0.018,0.192,0.392,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.71,0.046,0.0,0.0,0.062,0.3,0.162,0.0,0.0,0.13,0.096,0.372,0.008,0.002,0.17,0.036,0.302,0.092,0.006,0.194,0.01,0.128,0.322,0.032
0.05,0.852,0.0,0.0,0.0,0.052,0.634,0.046,0.0,0.0,0.066,0.262,0.212,0.0,0.0,0.116,0.108,0.344,0.028,0.008,0.144,0.032,0.206,0.176,0.034,0.16,0.012,0.098,0.378,0.084
0.05,0.852,0.0,0.0,0.0,0.052,0.658,0.048,0.0,0.0,0.072,0.306,0.194,0.0,0.0,0.132,0.116,0.322,0.006,0.0,0.176,0.028,0.246,0.124,0.002,0.204,0.014,0.114,0.348,0.004
0.05,0.852,0.0,0.0,0.0,0.054,0.64,0.05,0.0,0.0,0.094,0.298,0.206,0.0,0.0,0.142,0.116,0.388,0.034,0.0,0.178,0.05,0.29,0.136,0.002,0.204,0.01,0.156,0.384,0.01
0.05,0.852,0.0,0.0,0.0,0.05,0.686,0.046,0.0,0.0,0.08,0.274,0.198,0.0,0.0,0.158,0.076,0.45,0.018,0.0,0.212,0.024,0.414,0.108,0.0,0.226,0.004,0.212,0.31,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.708,0.044,0.0,0.0,0.066,0.29,0.182,0.0,0.0,0.122,0.1,0.426,0.022,0.0,0.162,0.04,0.352,0.15,0.0,0.174,0.018,0.18,0.404,0.0
